time,position_x,position_y,orientation_x,orientation_y,orientation_z,orientation_w,speed_x,speed_y,angular_z
1627660346179230000,-11,11,0,0,0,1,0,0,0
1627660346191630000,-11,11,0,0,0,1,0,0,0
1627660346212240000,-11,11,0,0,0,1,0,0,0
1627660346231880000,-11,11,0,0,0,1,0,0,0
1627660346276780000,-11,11,0,0,0,1,0,0,0
1627660346279140000,-11,11,0,0,0,1,0,0,0
1627660346291790000,-11,11,0,0,0,1,0,0,0
1627660346325520000,-11,11,0,0,0,1,0,0,0
1627660346344690000,-11,11,0,0,0,1,0,0,0
1627660346387300000,-11,11,0,0,0,1,0,0,0
1627660346387330000,-11,11,0,0,0,1,0,0,0
1627660346431280000,-11,11,0,0,0,1,0,0,0
1627660346431350000,-11,11,0,0,0,1,0,0,0
1627660346475200000,-11,11,0,0,0,1,0,0,0
1627660346475220000,-11,11,0,0,0,1,0,0,0
1627660346475230000,-11,11,0,0,0,1,0,0,0
1627660346519210000,-11,11,0,0,0,1,0,0,0
1627660346519310000,-11,11,0,0,0,1,0,0,0
1627660346531520000,-11,11,0,0,0,1,0,0,0
1627660346551850000,-11,11,0,0,0,1,0,0,0
1627660346595230000,-11,11,0,0,0,1,0,0,0
1627660346595250000,-11,11,0,0,0,1,0,0,0
1627660346643250000,-11,11,0,0,0,1,0,0,0
1627660346643280000,-11,11,0,0,0,1,0,0,0
1627660346691190000,-11,11,0,0,0,1,0,0,0
1627660346691200000,-11,11,0,0,0,1,0,0,0
1627660346735220000,-11,11,0,0,0,1,0,0,0
1627660346735240000,-11,11,0,0,0,1,0,0,0
1627660346735250000,-11,11,0,0,0,1,0,0,0
1627660346779370000,-11,11,0,0,0,1,0,0,0
1627660346779400000,-11,11,0,0,0,1,0,0,0
1627660346794690000,-11,11,0,0,0,1,0,0,0
1627660346819070000,-11,11,0,0,0,1,0,0,0
1627660346859190000,-11,11,0,0,0,1,0,0,0
1627660346859210000,-11,11,0,0,0,1,0,0,0
1627660346903220000,-11,11,0,0,0,1,0,0,0
1627660346903240000,-11,11,0,0,0,1,0,0,0
1627660346947220000,-11,11,0,0,0,1,0,0,0
1627660346947230000,-11,11,0,0,0,1,0,0,0
1627660346991180000,-11,11,0,0,0,1,0,0,0
1627660346991200000,-11,11,0,0,0,1,0,0,0
1627660347035280000,-11,11,0,0,0,1,0,0,0
1627660347035300000,-11,11,0,0,0,1,0,0,0
1627660347035310000,-11,11,0,0,0,1,0,0,0
1627660347079280000,-11,11,0,0,0,1,0,0,0
1627660347079290000,-11,11,0,0,0,1,0,0,0
1627660347091170000,-11,11,0,0,0,1,0,0,0
1627660347113070000,-11,11,0,0,0,1,0,0,0
1627660347155260000,-11,11,0,0,0,1,0,0,0
1627660347155280000,-11,11,0,0,0,1,0,0,0
1627660347203590000,-11,11,0,0,0,1,0,0,0
1627660347203640000,-11,11,0,0,0,1,0,0,0
1627660347251190000,-11,11,0,0,0,1,0,0,0
1627660347251200000,-11,11,0,0,0,1,0,0,0
1627660347295230000,-11,11,0,0,0,1,0,0,0
1627660347295260000,-11,11,0,0,0,1,0,0,0
1627660347295270000,-11,11,0,0,0,1,0,0,0
1627660347339180000,-11,11,0,0,0,1,0,0,0
1627660347339200000,-11,11,0,0,0,1,0,0,0
1627660347352190000,-11,11,0,0,0,1,0,0,0
1627660347371900000,-11,11,0,0,0,1,0,0,0
1627660347415300000,-11,11,0,0,0,1,0,0,0
1627660347415320000,-11,11,0,0,0,1,0,0,0
1627660347459190000,-11,11,0,0,0,1,0,0,0
1627660347459200000,-11,11,0,0,0,1,0,0,0
1627660347507270000,-11,11,0,0,0,1,0,0,0
1627660347507300000,-11,11,0,0,0,1,0,0,0
1627660347551200000,-11,11,0,0,0,1,0.020125151,0,0
1627660347551220000,-10.9996005969979,11,0,0,-2.65613684210729E-07,0.999999999999965,0.039971114,0,-2.6767527905875E-05
1627660347595170000,-10.9987994982494,10.9999999995744,0,0,-1.31315843446504E-06,0.999999999999138,0.060013056,0,-0.000104535254144
1627660347595180000,-10.9976047612712,10.9999999964367,0,0,-3.63539242848976E-06,0.999999999993392,0.079921007,0,-0.000233297137815
1627660347595180000,-10.996004189418,10.9999999847993,0,0,-7.73750319082316E-06,0.999999999970066,0.09994793,0,-0.000409659612952
1627660347639190000,-10.9940064241965,10.9999999538838,0,0,-1.40772206638027E-05,0.999999999900916,0.11993599,0,-0.000634350454558
1627660347639200000,-10.9916083071957,10.9999998863662,0,0,-2.3059033791314E-05,0.99999999973414,0.139930964,0,-0.000898407082609
1627660347651910000,-10.9888029513623,10.9999997569886,0,0,-3.5139178494049E-05,0.999999999382619,0.159979106,0,-0.001205113641745
1627660347671600000,-10.9856158447408,10.999999533004,0,0,-5.06193212268842E-05,0.999999998718842,0.179901124,0,-0.001554073763734
1627660347719200000,-10.9820221578963,10.999999169184,0,0,-7.00026324224237E-05,0.999999997549816,0.199877024,0,-0.001940669630014
1627660347719210000,-10.9780260032029,10.9999986097013,0,0,-9.36641426489906E-05,0.999999995613514,0.219870091,0,-0.002366971541319
1627660347763200000,-10.9736244120554,10.9999977851588,0,0,-0.000122349317662,0.999999992515322,0.239889145,0,-0.002865787282537
1627660347763210000,-10.9688379012098,10.9999966139061,0,0,-0.000156342255484,0.99999998777855,0.259842157,0,-0.003407298923507
1627660347807190000,-10.96361640658,10.9999949812255,0,0,-0.000196407225006,0.999999980712101,0.279937029,0,-0.003987581523061
1627660347807200000,-10.9580473719474,10.9999927936281,0,0,-0.000242279237904,0.999999970650385,0.299830914,0,-0.004611669767456
1627660347855170000,-10.9520522610216,10.999989888646,0,0,-0.000294940649999,0.999999956505006,0.319825889,0,-0.005267464850617
1627660347855190000,-10.945656055545,10.9999861156436,0,0,-0.000354166890502,0.999999937282905,0.339824916,0,-0.005922912512732
1627660347855200000,-10.9388697740644,10.9999813086902,0,0,-0.000420168534199,0.999999911729197,0.359794856,0,-0.00661009984566
1627660347899200000,-10.9316760310577,10.9999752635197,0,0,-0.000493414878836,0.999999878270871,0.379788876,0,-0.007326825950548
1627660347899220000,-10.9240802644522,10.9999677677885,0,0,-0.000574155039634,0.999999835172982,0.399788857,0,-0.008074024902492
1627660347911480000,-10.9160797346998,10.999958580695,0,0,-0.000662709064815,0.999999780408324,0.419800758,0,-0.008850137939887
1627660347934240000,-10.9076782300483,10.999947445181,0,0,-0.000759595337634,0.99999971150742,0.439813852,0,-0.009682290739873
1627660347975180000,-10.8988581683774,10.999934045814,0,0,-0.00086531529787,0.999999625614648,0.459867954,0,-0.010543478354367
1627660347975200000,-10.8896549114771,10.9999181183581,0,0,-0.000979734464023,0.999999520060075,0.479880809,0,-0.011434571919365
1627660348019190000,-10.8801255123323,10.9998994457697,0,0,-0.001102366611022,0.999999392393743,0.499738693,0,-0.012350984981971
1627660348019220000,-10.8701397085645,10.9998774296963,0,0,-0.001235109716323,0.999999237251704,0.519720792,0,-0.013286211429433
1627660348063190000,-10.8596870961373,10.9998516093909,0,0,-0.001377912002694,0.999999050678806,0.539436204681906,0,-0.014200689991905
1627660348063210000,-10.8488945646882,10.9998218669889,0,0,-0.001529283589775,0.999998830645167,0.558654333250384,0,-0.015131777209733
